Порядковый номер,Дата постановки,Ответственный,Наименование задачи,Срок выполнения задачи,Статус
01,20.03.2025,СИГМА,Устранить пересечения с ЖБ балками,21.03.2025,Выполненные
02,20.03.2025,СИГМА,Предложить вариант трассировки в зоне коридора,24.03.2025,Выполненные
03,20.03.2025,СИГМА,Переподключить решетки на верхнее где это возможно,24.03.2025,Выполненные
04,20.03.2025,СИГМА,Переделать компоновку по заданию от 24.03.2025 в зоне столовой,24.03.2025,Выполненные
05,20.03.2025,СИГМА,Выставить фанкойлы по лючкам,28.03.2025,Выполненные
06,20.03.2025,СИГМА,Добавить зону обслуживания фанкойлам,28.03.2025,Выполненные
07,20.03.2025,СИГМА,Откорректировать положение фанкойлов с учетом зон доступа,28.03.2025,Выполненные
09,20.03.2025,СИГМА,Решить возможность подключения Приточного фанкойла,28.03.2025,Выполненные
10,20.03.2025,СИГМА,Осуществить перекомпоновку шахты и высвободить место для подключения фанкойлов в коридоре,30.03.2025,Выполненные
11,20.03.2025,СИГМА,Проработать фальш-решетки,30.03.2025,Выполненные
13,20.03.2025,СИГМА,Не хватает пространства для размещения решётки,03.04.2025,Открытые
14,20.03.2025,СИГМА,Убрать опуски. ШАХТЫ там нет,03.04.2025,Открытые
15,20.03.2025,СИГМА,Привести в соответствие потолки,04.04.2025,Открытые
